num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4881	4869.414252	95.464147	12.147864	4.510310	137.774370
4883	4871.492324	97.089777	12.199252	4.507523	131.105998
4887	4875.643729	95.783753	13.237499	4.511350	131.480862
4889	4877.717392	95.310187	12.881151	4.521655	132.124973
4891	4879.790231	96.562236	12.135577	4.517611	130.729035
4895	4883.931522	95.842486	13.253496	4.529416	133.879933
4897	4886.001868	94.225370	13.704038	4.512610	139.071004
4899	4888.076494	94.981832	13.013051	4.526883	131.824906
4901	4890.155299	93.175197	13.275674	4.537484	125.525149
4905	4894.304133	94.734070	12.522738	4.541278	135.063509
4907	4896.370993	94.436488	13.624306	4.525941	133.773740
4909	4898.444644	92.967808	12.681990	4.526413	134.028642
4911	4900.524615	90.920282	13.228159	4.529550	134.140488
4913	4902.602071	93.429441	13.236197	4.559903	140.348457
4915	4904.672746	94.851090	12.588744	4.551245	137.138354
4917	4906.740917	93.280835	12.766335	4.542011	128.047897
4919	4908.811523	92.576683	12.577636	4.536390	133.900862
4921	4910.885304	92.960167	12.654651	4.550602	128.463901
4923	4912.959297	92.614891	12.576003	4.549306	137.257439
4925	4915.033408	91.590068	13.159162	4.553736	129.630812
4929	4919.179498	91.550613	13.051206	4.569014	137.622259
4931	4921.254197	91.380950	14.381392	4.577623	132.776858
4933	4923.331562	91.359234	12.544171	4.563853	133.738856
4935	4925.410158	93.206641	12.805146	4.568410	135.748293
4937	4927.484372	91.608933	13.650568	4.566195	132.531052
4939	4929.553240	92.363062	12.971514	4.575622	130.814200
4941	4931.621620	91.937184	12.632923	4.586821	124.687506
4943	4933.694930	91.948209	12.815383	4.594173	135.658830
4945	4935.773300	91.018435	12.631598	4.582838	136.223726
4947	4937.851820	88.701439	13.404198	4.579943	131.375287
4951	4941.996748	90.131540	13.418065	4.579524	135.245815
4953	4944.067332	89.779819	14.163307	4.590217	125.314244
4955	4946.139240	90.109609	14.275172	4.597500	131.126270
4959	4950.285482	89.618979	14.821354	4.610191	130.085314
4961	4952.359777	90.001517	13.918839	4.602236	133.189591
4963	4954.435023	89.447308	12.987961	4.600065	127.373217
