crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-20.021395	5834	0.000000
281474976710655.000000	-17.834030	5835	0.000000
281474976710655.000000	-22.453577	5836	0.000000
281474976710655.000000	-13.228208	5837	0.000000
281474976710655.000000	-23.647810	5838	0.000000
281474976710655.000000	-10.686679	5839	0.000000
281474976710655.000000	-25.585224	5840	0.000000
281474976710655.000000	-15.016724	5841	0.000000
281474976710655.000000	-20.781418	5842	0.000000
281474976710655.000000	-19.175619	5843	0.000000
281474976710655.000000	-15.363581	5844	0.000000
281474976710655.000000	-20.346817	5845	0.000000
281474976710655.000000	-23.307022	5846	0.000000
281474976710655.000000	-13.130940	5847	0.000000
281474976710655.000000	-26.448599	5848	0.000000
281474976710655.000000	-15.154978	5849	0.000000
281474976710655.000000	-21.153984	5850	0.000000
281474976710655.000000	-21.440859	5851	0.000000
281474976710655.000000	-16.629646	5852	0.000000
281474976710655.000000	-19.165758	5853	0.000000
281474976710655.000000	-26.102121	5854	0.000000
281474976710655.000000	-13.959824	5855	0.000000
281474976710655.000000	-26.735250	5856	0.000000
281474976710655.000000	-15.227880	5857	0.000000
281474976710655.000000	-23.104431	5858	0.000000
281474976710655.000000	-22.106495	5859	0.000000
281474976710655.000000	-17.520971	5860	0.000000
281474976710655.000000	-20.801197	5861	0.000000
281474976710655.000000	-20.248585	5862	0.000000
281474976710655.000000	-20.080048	5863	0.000000
281474976710655.000000	-23.505278	5864	0.000000
281474976710655.000000	-17.789303	5865	0.000000
281474976710655.000000	-28.896036	5866	0.000000
281474976710655.000000	-14.762307	5867	0.000000
281474976710655.000000	-32.582603	5868	0.000000
281474976710655.000000	-14.175643	5869	0.000000
281474976710655.000000	-26.896751	5870	0.000000
281474976710655.000000	-14.738732	5871	0.000000
281474976710655.000000	-33.554214	5872	0.000000
281474976710655.000000	-15.694159	5873	0.000000
281474976710655.000000	-28.603163	5874	0.000000
281474976710655.000000	-16.850622	5875	0.000000
281474976710655.000000	-26.436563	5876	0.000000
281474976710655.000000	-20.650953	5877	0.000000
281474976710655.000000	-23.043488	5878	0.000000
281474976710655.000000	-24.198141	5879	0.000000
281474976710655.000000	-21.698977	5880	0.000000
281474976710655.000000	-23.198154	5881	0.000000
281474976710655.000000	-21.261875	5882	0.000000
281474976710655.000000	-21.394142	5883	0.000000
281474976710655.000000	-26.725536	5884	0.000000
281474976710655.000000	-18.103796	5885	0.000000
281474976710655.000000	-33.643761	5886	0.000000
281474976710655.000000	-15.861887	5887	0.000000
281474976710655.000000	-25.390036	5888	0.000000
281474976710655.000000	-21.968855	5889	0.000000
281474976710655.000000	-24.383295	5890	0.000000
281474976710655.000000	-23.088299	5891	0.000000
281474976710655.000000	-22.215517	5892	0.000000
281474976710655.000000	-23.007168	5893	0.000000
281474976710655.000000	-31.779989	5894	0.000000
281474976710655.000000	-18.997183	5895	0.000000
281474976710655.000000	-33.244492	5896	0.000000
281474976710655.000000	-17.076155	5897	0.000000
281474976710655.000000	-32.264202	5898	0.000000
281474976710655.000000	-21.254776	5899	0.000000
281474976710655.000000	-26.626682	5900	0.000000
281474976710655.000000	-25.185936	5901	0.000000
281474976710655.000000	-23.704554	5902	0.000000
281474976710655.000000	-24.248343	5903	0.000000
281474976710655.000000	-23.769310	5904	0.000000
281474976710655.000000	-25.763937	5905	0.000000
281474976710655.000000	-22.055649	5906	0.000000
281474976710655.000000	-31.797070	5907	0.000000
281474976710655.000000	-24.505478	5908	0.000000
281474976710655.000000	-30.775314	5909	0.000000
281474976710655.000000	-25.292263	5910	0.000000
281474976710655.000000	-31.439613	5911	0.000000
281474976710655.000000	-25.781099	5912	0.000000
281474976710655.000000	-28.170227	5913	0.000000
281474976710655.000000	-26.439165	5914	0.000000
281474976710655.000000	-24.138624	5915	0.000000
